desk, underlying, base_market, base_feedcode, calculated_at, volatility_type, volatility, winddown
UST,TN10,XCME,ZNM9,1557471600000000000,MoveNonBaseWithoutGap,0.0078123,0.073308
UST,TN10,XCME,ZNM9,1557471600000000000,CloseToClose,0.00963742,0.26242
UST,TN10,XCME,ZNM9,1557473400000000000,BootstrapBaseWithGap,0.0123546,0.28287
UST,TN10,XCME,ZNM9,1557473400000000000,BootstrapBaseWithoutGap,0.00942338,0.093758
UST,TN10,XCME,ZNM9,1557473400000000000,BootstrapNonBaseWithGap,0.0123257,0.28287
UST,TN10,XCME,ZNM9,1557473400000000000,BootstrapNonBaseWithoutGap,0.00940428,0.093758
UST,TN10,XCME,ZNM9,1557473400000000000,BootstrapSliding10,0,0.006816
UST,TN10,XCME,ZNM9,1557473400000000000,BootstrapSliding30,0,0.02045
UST,TN10,XCME,ZNM9,1557473400000000000,BootstrapSliding60,0,0.04089
UST,TN10,XCME,ZNM9,1557473400000000000,MoveBaseWithGap,0.0138437,0.28287
UST,TN10,XCME,ZNM9,1557473400000000000,MoveBaseWithoutGap,0.00690797,0.093758
UST,TN10,XCME,ZNM9,1557473400000000000,MoveNonBaseWithGap,0.0138437,0.28287
UST,TN10,XCME,ZNM9,1557473400000000000,MoveNonBaseWithoutGap,0.00690797,0.093758
UST,TN10,XCME,ZNM9,1557473400000000000,CloseToClose,0.00928252,0.28287
UST,TN10,XCME,ZNM9,1557475200000000000,BootstrapBaseWithGap,0.0119257,0.303314
UST,TN10,XCME,ZNM9,1557475200000000000,BootstrapBaseWithoutGap,0.00863721,0.114202
UST,TN10,XCME,ZNM9,1557475200000000000,BootstrapNonBaseWithGap,0.0121516,0.303314
UST,TN10,XCME,ZNM9,1557475200000000000,BootstrapNonBaseWithoutGap,0.00891428,0.114202
UST,TN10,XCME,ZNM9,1557475200000000000,BootstrapSliding10,0,0.006814
UST,TN10,XCME,ZNM9,1557475200000000000,BootstrapSliding30,0,0.020444
UST,TN10,XCME,ZNM9,1557475200000000000,BootstrapSliding60,0,0.040894
UST,TN10,XCME,ZNM9,1557475200000000000,MoveBaseWithGap,0.013369,0.303314
UST,TN10,XCME,ZNM9,1557475200000000000,MoveBaseWithoutGap,0.00625919,0.114202
UST,TN10,XCME,ZNM9,1557475200000000000,MoveNonBaseWithGap,0.013369,0.303314
UST,TN10,XCME,ZNM9,1557475200000000000,MoveNonBaseWithoutGap,0.00625919,0.114202
UST,TN10,XCME,ZNM9,1557475200000000000,CloseToClose,0.00896423,0.303314
UST,TN10,XCME,ZNM9,1557477000000000000,BootstrapBaseWithGap,0.0117734,0.319132
UST,TN10,XCME,ZNM9,1557477000000000000,BootstrapBaseWithoutGap,0.00819447,0.13002
UST,TN10,XCME,ZNM9,1557477000000000000,BootstrapNonBaseWithGap,0.0121285,0.319132
